"Stock.ID","Stock","BY","Species","Region","Sub.Region","S","R","UseFlag","R2","R3","R4","R5","R6","R7","Lat","Lon","Ocean.Region2"
302,"Grays Harbour",2009,"Chum","Outside WA","Outside WA",14585,33754,1,0,0.106446643360787,0.812851810155833,0.0807015464833798,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",2010,"Chum","Outside WA","Outside WA",33537,34120,1,0,0.261547479484174,0.640621336459555,0.097831184056272,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",2011,"Chum","Outside WA","Outside WA",29043,41731,1,0,0.0700438522920611,0.806211209891927,0.123744937816012,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",2012,"Chum","Outside WA","Outside WA",25452,77763,1,0,0.126191119169785,0.783123079099315,0.0906858017309003,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",2013,"Chum","Outside WA","Outside WA",21284,14147,1,0,0.163356188591221,0.793737188096416,0.042906623312363,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",2014,"Chum","Outside WA","Outside WA",14711,26417,1,0,0.372373850172238,0.607449748268161,0.0201764015596018,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",2015,"Chum","Outside WA","Outside WA",33705,55818,1,0,0.457415170733455,0.535293274570927,0.0072915546956179,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",2016,"Chum","Outside WA","Outside WA",62811,22044,1,0,0.368218109236073,0.603111957902377,0.0286699328615496,0,0,46.95083,-124.0497,"WC"
303,"S Sound Summer",1968,"Chum","Inside WA","Inside WA",22007,128509,1,0,0.077854469336778,0.903866655253718,0.0182788754095044,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1969,"Chum","Inside WA","Inside WA",3439,41801,1,0,0.41130594961843,0.570871510250951,0.0178225401306189,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1970,"Chum","Inside WA","Inside WA",5410,29271,1,0,0.512520925147757,0.48255952991015,0.00491954494209286,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1971,"Chum","Inside WA","Inside WA",4809,13754,1,0,0.564344917842082,0.430129416896903,0.00559837138287044,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1972,"Chum","Inside WA","Inside WA",33523,74853,1,0,0.0319559670287096,0.966841676352317,0.00120235661897319,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1973,"Chum","Inside WA","Inside WA",9643,10407,1,0,0.412126453348708,0.57057749591621,0.0172960507350822,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1974,"Chum","Inside WA","Inside WA",19729,13738,1,0,0.29181831416509,0.704469355073519,0.00363953996214878,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1975,"Chum","Inside WA","Inside WA",5803,5537,1,0,0.921256998374571,0.0733249051833123,0.00541809644211667,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1976,"Chum","Inside WA","Inside WA",32743,7693,1,0,0.138437540621344,0.688808007279345,0.172754452099311,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1977,"Chum","Inside WA","Inside WA",3835,22231,1,0,0.438666726642976,0.52431289640592,0.036975394719086,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1978,"Chum","Inside WA","Inside WA",5875,4838,1,0,0.208143861099628,0.682720132286069,0.108929309632079,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1979,"Chum","Inside WA","Inside WA",1005,5448,1,0,0.505323054331865,0.463289280469897,0.0313876651982379,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1980,"Chum","Inside WA","Inside WA",7555,15112,1,0,0.118382742191636,0.861103758602435,0.0205134992059291,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1981,"Chum","Inside WA","Inside WA",6294,10129,1,0,0.573896732155198,0.38177510119459,0.0443281666502123,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1982,"Chum","Inside WA","Inside WA",4089,19455,1,0,0.171164225134927,0.755075815985608,0.0737599588794654,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1983,"Chum","Inside WA","Inside WA",1769,16975,1,0,0.256318114874816,0.620913107511046,0.122827687776141,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1984,"Chum","Inside WA","Inside WA",8034,91579,1,0,0.172310245798709,0.789274833750096,0.0384149204511951,0,0,47.042,-122.835,"WC"
303,"S Sound Summer",1985,"Chum","Inside WA","Inside WA",4022,43916,1,0,0.271017396848529,0.639174788232079,0.0898078149193916,0,0,47.042,-122.835,"WC"
