"","Model","Competitor index","Parameter","Era","Region","Posterior_Mean","Lower_2.5_CI","Lower_10_CI","Posterior_Median","Upper_90_CI","Upper_97.5_CI"
"63","1","all_spp_biomass_np","Competitor effect","Early","Gulf of Alaska",0.0590206654620852,-0.150154582591981,-0.0726012603487175,0.0600815385073065,0.190932745398882,0.25307884625276
"64","1","all_spp_biomass_np","Competitor effect","Early","Bering Sea",0.295194376174347,0.135814514746094,0.193060724748809,0.294305874528884,0.403965820159999,0.463900184739334
"65","1","all_spp_biomass_np","Competitor effect","Middle","West Coast",-0.46778024278023,-0.625043494631177,-0.57372982220182,-0.467293064974749,-0.360415769654434,-0.313111854236247
"66","1","all_spp_biomass_np","Competitor effect","Middle","Southeast Alaska",-0.24476477452326,-0.487609478184439,-0.401828323685686,-0.243020136669485,-0.0896688058866292,-0.00529798050106274
"67","1","all_spp_biomass_np","Competitor effect","Middle","Gulf of Alaska",0.0173412861424996,-0.161412814317888,-0.0923662156768041,0.0184080847404842,0.129099214827304,0.183652168030455
"68","1","all_spp_biomass_np","Competitor effect","Middle","Bering Sea",-0.0567622521516507,-0.210224202513651,-0.158021644807449,-0.0555920183335305,0.0436328706060057,0.0960673812520468
"69","1","all_spp_biomass_np","Competitor effect","Late","West Coast",-0.766013833936323,-1.03140234073246,-0.939456243179217,-0.765391633445626,-0.599681269094421,-0.511627366222733
"70","1","all_spp_biomass_np","Competitor effect","Late","Southeast Alaska",0.0745758417097114,-0.308672060600385,-0.165812958410292,0.0748978630372919,0.319203750089421,0.45957626388559
"71","1","all_spp_biomass_np","Competitor effect","Late","Gulf of Alaska",0.256764499462354,-0.0371718937753311,0.069311679308926,0.259311781004481,0.442874224324303,0.541980528127017
"72","1","all_spp_biomass_np","Competitor effect","Late","Bering Sea",0.0997441379703354,-0.159577602486689,-0.0644864989101499,0.101123332331531,0.262849388106413,0.347358845732356
