Year,pink_numbers_np,pink_numbers_np_hatch,pink_numbers_na,all_spp_biomass_np,all_spp_numbers_np,all_spp_numbers_np_bs,all_spp_numbers_np_goa,all_spp_numbers_np_wc,all_spp_biomass_np_bs,all_spp_biomass_np_goa,all_spp_biomass_np_wc,all_spp_numbers_na_bs,all_spp_numbers_na_goa,all_spp_numbers_na_wc,all_numbers_np_hatch
1979,319.9023766,16.14675054,107.614867,868.7663926,457.0085303,410.8168968,450.9486011,440.3655406,745.7803252,850.2409475,826.0082429,151.0065083,191.1382126,180.5551521,45.74220234
1980,244.4852059,14.88306373,117.5081263,830.7887202,407.9586411,337.4364296,401.0881049,397.6078053,652.4809064,811.822447,804.6669572,165.4499113,229.1015867,225.621287,43.0820931
1981,297.883815,12.26615525,123.9229787,955.9926859,453.4997952,412.2365912,444.1472452,433.1586937,840.2707707,928.1575056,905.06029,185.8977126,217.8083666,206.8198151,48.51533501
1982,223.2043036,16.43949556,109.2815021,809.0753593,373.1234832,345.1562272,360.2884533,345.9807186,728.3625173,768.6838777,727.4297006,180.0369659,195.169192,180.8614573,52.21879642
1983,431.0079915,14.25965533,138.8363733,1072.315809,597.2711755,545.2559515,584.0290502,581.3113579,938.7239253,1034.442537,1030.612576,193.0029318,231.7760306,229.0583383,54.73887024
1984,308.7731516,27.94334467,144.981063,960.539126,479.5063711,433.1131821,466.4743631,464.6660655,841.6033193,923.7295817,922.6708925,207.8344041,241.1955852,239.3872876,74.68831984
1985,326.2901376,26.51617293,191.4191293,1064.155569,524.1908162,479.9890702,510.1786968,497.5026801,957.2913591,1027.67832,994.7260867,269.5223407,299.7119674,287.0359507,85.7174324
1986,261.7616152,25.14034711,162.7469921,979.583396,442.763661,414.141395,427.0463462,419.7812469,900.5762053,936.8657432,911.7269427,240.5155158,253.420467,246.1553678,83.44711868
1987,270.3310462,35.6280464,117.0298367,945.3057311,437.708009,406.949994,417.7279952,421.2031679,853.1137828,888.5613892,898.6257647,185.677624,196.4556252,199.9307979,88.38702904
1988,212.1579015,28.59883938,118.9696246,887.8403465,384.7937078,357.8279008,369.1995852,371.5099502,813.8898685,842.90637,852.58445,191.1211169,202.4928013,204.8031663,88.19777455
1989,364.3859048,37.56744172,179.8260594,1118.8288,557.719549,508.100742,543.8394667,532.6790696,985.018362,1081.919749,1055.367265,245.8335483,281.5722731,270.411876,100.714449
1990,303.0355966,54.22809736,164.9486629,1111.197261,523.034228,468.726716,506.9616471,494.3779009,971.9139211,1068.823662,1034.855617,238.3004455,276.5353766,263.9516304,131.521759
1991,486.0193237,70.77612347,219.011513,1217.830176,688.9187022,639.8288242,671.2387016,665.7406359,1094.216993,1171.532253,1161.011661,290.5844024,321.9942799,316.4962142,140.7391549
1992,277.2341688,34.75493028,126.3497266,997.0263514,472.3206335,419.5156275,450.4385074,452.7489634,859.2734136,938.3280157,946.8217238,202.5929341,233.5158139,235.82627,91.67300766
1993,398.5924679,37.7111409,189.1282212,1260.213971,650.2049051,588.8667351,632.9500368,611.0155104,1106.202653,1213.372197,1167.391796,279.530157,323.6134586,301.6789323,116.3363129
1994,453.748659,62.51075841,173.9028634,1348.500118,698.5702437,641.0172727,682.0785529,674.7881411,1205.66175,1306.862094,1284.682212,261.0327737,302.094054,294.8036422,143.9746589
1995,434.867605,42.14948649,231.4693131,1413.727294,690.5075378,621.4789368,673.9672873,677.7110138,1242.391089,1372.36827,1382.554233,306.6294618,359.1178123,362.8615389,134.0023616
1996,424.2513281,43.27420957,201.7165991,1428.059169,677.0867961,634.0947781,657.7782828,659.6398258,1307.996783,1373.085142,1380.584307,286.7015665,310.3850711,312.2466142,153.6779934
1997,401.9695761,57.56612945,150.7793588,1254.711779,609.5707575,585.4808905,592.0381365,585.0302807,1193.217974,1205.825712,1196.632388,229.9184735,236.4757195,229.4678637,156.0443044
1998,443.5715796,49.13499015,181.1101323,1250.446263,636.0950425,613.4514445,623.4855989,621.10403,1195.37597,1217.646047,1207.504134,263.0973805,273.1315349,270.749966,129.7901594
1999,501.0739726,78.02190601,268.0294875,1259.043501,699.167391,652.685346,679.5882901,691.5370246,1140.710628,1211.378896,1238.756026,338.9755796,365.8785237,377.8272582,152.4620631
2000,381.8192568,54.58992413,144.1110692,1161.310427,567.919246,533.803743,553.8380418,553.3850172,1065.104836,1121.931399,1122.280336,216.6439434,236.6782422,236.2252176,126.8896168
2001,401.8196412,71.67011431,223.5269268,1238.027074,601.1721842,574.6242862,586.161925,585.6332824,1164.185065,1193.256802,1194.255494,293.7028678,305.2405067,304.711864,154.7041529
2002,382.8857158,45.05424069,180.4780906,1248.148238,574.1699327,553.5966427,559.5230827,552.5019598,1193.642861,1207.15826,1183.712054,257.7671639,263.6936039,256.672481,124.712154
2003,466.3283391,84.22264982,242.9808583,1382.092005,675.4527621,645.6936111,654.8009582,662.0530205,1304.716194,1324.111825,1347.161992,319.9479933,329.0553404,336.3074027,182.9938189
2004,361.2705607,41.75051625,189.9818756,1339.898774,594.246628,545.529013,575.5614237,580.97848,1216.39236,1290.601901,1305.44756,266.9831306,297.0155413,302.4325976,137.8439178
2005,594.4661709,100.4464789,292.694696,1566.207186,812.9759031,767.7828641,795.2215065,801.7123416,1444.32783,1515.980167,1536.375645,362.7286312,390.1672736,396.6581087,185.7115425
2006,344.0283572,71.76432646,121.8419896,1271.431776,576.5499678,532.634654,563.5715382,556.9435185,1157.811448,1237.834041,1223.05621,197.2823873,228.2192715,221.5912517,167.0159728
2007,548.7740497,95.01105978,228.5356539,1482.40179,764.4126192,719.0092718,749.7863061,757.8969247,1363.684895,1443.32363,1464.301535,286.6321419,317.4091761,325.5197947,179.7454703
2008,328.1716624,63.93019686,127.1262814,1112.595792,521.1910168,477.7543996,510.692568,514.8136032,1000.876727,1085.024708,1096.545523,176.9621753,209.9003437,214.021379,138.7397281
2009,657.1627969,64.65242704,189.8685148,1587.120372,878.0857061,834.8341955,866.3518642,872.3303818,1468.752172,1555.444865,1572.982087,240.6538985,272.1715672,278.1500848,148.9073503
2010,407.2142707,104.8159652,160.518328,1377.978747,644.0343956,602.6005844,630.6020835,608.8342801,1268.864142,1342.123213,1286.588899,243.2271232,271.2286223,249.460819,177.3471072
2011,653.762543,58.34817497,214.1766751,1498.896404,860.3221639,828.4067317,839.5332744,847.3188396,1407.363761,1440.901262,1467.863727,289.2399943,300.3665371,308.1521023,124.7525005
2012,435.5747755,51.28189264,119.9739051,1268.716809,650.4224394,619.2293126,632.2061712,641.9225976,1183.409976,1219.539126,1247.642804,187.4520247,200.4288833,210.1453098,124.8405804
2013,577.8224288,111.9489942,367.5887781,1487.885776,798.2596879,771.9355186,781.0127199,789.989363,1413.823507,1440.698301,1467.499931,436.0836828,445.1608842,454.1375273,193.7709655
2014,355.8470816,69.64097255,162.7480035,1294.806075,606.0006984,561.4562811,588.998875,579.2774463,1182.714227,1251.254106,1224.767687,235.9460579,263.4886518,253.7672231,137.368745
2015,549.4208599,106.5983076,299.350879,1591.375419,815.6585249,753.3252469,795.9516638,809.4058548,1439.191612,1543.648187,1576.56072,365.615591,408.2420079,421.6961989,179.6650291
2016,432.1624472,NA,NA,NA,685.6603215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,512.7705707,NA,NA,NA,736.6469631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,701.2765388,NA,NA,NA,950.0809152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,638.7619648,NA,NA,NA,854.2206508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,312.9132674,NA,NA,NA,492.0791507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,797.2375093,NA,NA,NA,990.3456974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
